x1,x2,x3,x4,x5,x6
3330.078125,3378.90625,3442.3828125,3964.84375,5043.9453125,6259.765625
3310.546875,3403.3203125,3442.3828125,3969.7265625,5043.9453125,6250.0
3334.9609375,3378.90625,3452.1484375,3964.84375,5073.2421875,6240.234375
3344.7265625,3374.0234375,3452.1484375,3945.3125,5068.359375,6269.53125
3349.609375,3369.140625,3461.9140625,3930.6640625,5063.4765625,6269.53125
3369.140625,3374.0234375,3481.4453125,3955.078125,5063.4765625,6279.296875
3369.140625,3359.375,3461.9140625,3955.078125,5073.2421875,6289.0625
3369.140625,3364.2578125,3457.03125,3950.1953125,5078.125,6284.1796875
3374.0234375,3359.375,3491.2109375,3974.609375,5087.890625,6289.0625
3369.140625,3354.4921875,3491.2109375,3974.609375,5063.4765625,6289.0625
3393.5546875,3339.84375,3486.328125,4008.7890625,5063.4765625,6298.828125
3398.4375,3330.078125,3476.5625,4008.7890625,5029.296875,6293.9453125
3388.671875,3334.9609375,3496.09375,3984.375,5043.9453125,6337.890625
3393.5546875,3334.9609375,3496.09375,3999.0234375,5048.828125,6298.828125
3393.5546875,3330.078125,3496.09375,4023.4375,5039.0625,6298.828125
3398.4375,3325.1953125,3505.859375,4008.7890625,5039.0625,6289.0625
3383.7890625,3320.3125,3500.9765625,4033.203125,5024.4140625,6298.828125
3369.140625,3330.078125,3549.8046875,4008.7890625,5019.53125,6284.1796875
3413.0859375,3325.1953125,3510.7421875,4023.4375,5048.828125,6264.6484375
3432.6171875,3325.1953125,3525.390625,4023.4375,5029.296875,6254.8828125
3408.203125,3320.3125,3510.7421875,4018.5546875,5009.765625,6254.8828125
3413.0859375,3305.6640625,3520.5078125,4013.671875,5014.6484375,6264.6484375
3417.96875,3325.1953125,3535.15625,4033.203125,5004.8828125,6274.4140625
3422.8515625,3266.6015625,3530.2734375,4023.4375,4995.1171875,6240.234375
